Date,Start,End,Hours,Project,Description
2024-06-24,,,,,
2024-06-25,11:00,12:00,1,General,Jennet & Amanda - Meeting to touch base
2024-06-25,12:00,1:00,1,General,Setup wuo Staff Account / HR Setup / Payroll Setup 
2024-06-25,1:00,2:00,1,General,Build Time Tracking Tool
2024-06-25,15:00,16:00,1,Training,Lawson SOP training module
2024-06-25,16:00,16:30,0.5,Planning,Writing out meeting notes / plans
2024-06-26,6:00,7:00,1,Training,TCPS Modules A1 - A9 (Certificate provided)
2024-06-27,7:30,8:00,0.5,General,"Emails, Setting up OneDrive syncing to PC (2FA etc.)"
2024-06-28,7:00,9:00,2,Training,Canada GCP - Stage 1  - Basic
2024-06-28,9:00,10:00,1,Training,Health Canada Division 5 - Drugs For Clinical Trials Involving Human Subjects
2024-06-29,6:00,7:00,1,Training,Responsible Conduct of Research - First half of module
2024-07-02,5:30,6:30,1,Training,Responsible Conduct of Research - Second half
2024-07-02,4:30,5:00,0.5,General,"Upload Certificates to ReDA, emails"
2024-07-03,8:30,11:30,3,PHAC,"Reading grant, sourcing REB docs, sourcing & organizing refs in manager, making notes."
